name;phone;address;email;password
Aung Ko Ko;09451234567;Yangon;aungkokomail@gmail.com;12345678
Mya Hnin Yee Lwin;09987654321;Mandalay;mya.hnin@gmail.com;12345678
Htet Wai Yan;09731234567;Naypyidaw;htet.wai@gmail.com;12345678
Ei Mon Kyaing;09567812345;Taunggyi;eimkyaing@mmail.com;12345678
Lin Htet Aung;09234567891;Bago;linhtet.mm@gmail.com;12345678
Thiri Su Mon;09678901234;Pathein;thirisumon@gmail.com;12345678
Nay Lin Tun;09876543210;Myeik;naylintun1995@gmail.com;12345678
Khin Moe Moe;09123456789;Pyin Oo Lwin;khinmoe.moe@mmail.com;12345678
Ko Min Htike;09345678901;Magway;kominhtike@xyz.com;12345678
Su Hlaing Win;09498765432;Hpa-An;suhlaingwin@abc.com;12345678
